OID_,Dist_ID,Dist_name,Div_ID,Divi_name,Dist_name_old,Dist_rimes,Dist_rimes_id,Div_rimes,Div_rimes_id,Shape_Length,Shape_Area,bfl_meat_em,bfl_milk_em,_buffelo_em,n_cattle_em,_chicken_em,_ckn_egg_em,ckn_meat_em,ctl_meat_em,ctl_milk_em,ion_goat_em,on_sheep_em,on_total_em
1,1,Bagerhat,40,Khulna,Bagerhat,Bagerhat,4001,Khulna,BD40,489545.5396,4642712100,15.575783,3.951551,19.527336,40.385627,3.188936,1.303249,1.885686,33.552093,6.833532,15.982876,0,79.124046
2,3,Bandarban,20,Chattogram,Bandarban,Bandarban,2003,Chittagong,BD20,628399.2481,5354758664,0,0,0,23.74088,1.124607,0.52807,0.596537,20.479202,3.26168,4.235072,0,30.008316
3,4,Barguna,10,Barishal,Barguna,Barguna,1004,Barisal,BD10,347455.8322,1779148317,34.879585,9.253572,44.133159,238.859817,40.195461,16.527399,23.668062,170.04956,68.810272,67.634597,0.778257,391.601287
4,6,Barishal,10,Barishal,Barisal,Barisal,1006,Barisal,BD10,426243.6199,2939327355,12.800805,3.407899,16.208703,229.181747,13.159826,6.765759,6.394066,163.082077,66.099678,93.815505,0.588725,352.954528
5,9,Bhola,10,Barishal,Bhola,Bhola,1009,Barisal,BD10,391863.6829,3732813297,49.6366,13.233482,62.870079,220.81401,36.942253,16.514631,20.427621,157.091003,63.723011,102.767539,1.650231,425.044097
6,10,Bogura,50,Rajshahi,Bogra,Bogra,5010,Rajshahi,BD50,501984.9277,3552034935,8.555024,2.100966,10.65599,230.310729,11.769461,8.565911,3.20355,165.961318,64.349418,126.705581,11.585124,391.026885
7,12,Brahmanbaria,20,Chattogram,Brahmanbaria,Brahamanbaria,2012,Chittagong,BD20,415300.6006,2312233173,5.949112,1.525736,7.474849,334.949493,12.596276,7.448294,5.147981,239.674224,95.275283,73.914947,1.852585,430.788146
8,13,Chandpur,20,Chattogram,Chandpur,Chandpur,2013,Chittagong,BD20,289209.144,2022779081,5.321004,1.411681,6.732686,288.54132,25.99761,16.239736,9.757874,205.419418,83.121917,157.597747,0.399418,479.268768
9,15,Chattogram,20,Chattogram,Chittagong,Chittagong,2015,Chittagong,BD20,745492.5994,5863487121,6.891913,1.838391,8.730305,121.292129,17.898481,13.02493,4.873549,86.284736,35.007389,20.638479,0.877483,169.436859
10,18,Chuadanga,40,Khulna,Chuadanga,Chuadanga,4018,Khulna,BD40,271343.6706,1392577725,18.998134,4.694187,23.692321,325.341125,11.919143,6.629477,5.289666,234.128692,91.212425,539.806701,2.987856,903.74707
11,19,Cumilla,20,Chattogram,Comilla,Comilla,2019,Chittagong,BD20,444055.5371,3683705530,6.529986,1.726059,8.256046,262.544464,11.319997,8.246743,3.073254,187.024948,75.519515,108.870132,0.959277,391.94992
12,22,Cox's Bazar,20,Chattogram,Cox's Bazar,Cox's Bazar,2022,Chittagong,BD20,620478.1312,2627232457,24.326965,6.27051,30.597476,279.006561,12.525153,9.097704,3.427448,199.507156,79.499397,63.974758,2.561575,388.665527
13,26,Dhaka,30,Dhaka,Dhaka,Dhaka,3026,Dhaka,BD30,372286.0252,1774529664,3.445604,0.88246,4.328065,194.061325,11.332591,8.244246,3.088344,138.891265,55.170047,90.380294,3.027677,303.129943
14,27,Dinajpur,55,Rangpur,Dinajpur,Dinajpur,5527,Rangpur,BD55,589674.9551,4277004611,19.324922,4.99761,24.322532,597.966003,22.08209,10.653001,11.429089,427.339111,170.626907,293.415161,7.383222,945.169006
15,29,Faridpur,30,Dhaka,Faridpur,Faridpur,3029,Dhaka,BD30,388453.142,2440980922,7.001473,1.805549,8.807023,205.260025,9.608173,5.513275,4.094897,146.755569,58.504455,160.371124,0.718913,384.765258
16,30,Feni,20,Chattogram,Feni,Feni,2030,Chittagong,BD20,288104.6652,1107364836,6.111333,1.622298,7.733632,194.218536,17.584018,10.720993,6.863025,138.263778,55.954753,25.942869,0.694383,246.173416
17,32,Gaibandha,55,Rangpur,Gaibandha,Gaibandha,5532,Rangpur,BD55,377033.7783,2662556915,12.648373,3.245903,15.894276,553.612121,21.060411,10.532225,10.528185,396.158569,157.453582,154.566497,7.257658,752.390991
18,33,Gazipur,30,Dhaka,Gazipur,Gazipur,3033,Dhaka,BD30,284849.1616,2189010062,3.744541,0.992228,4.73677,294.721496,26.884838,19.565637,7.319201,209.85913,84.86238,141.114379,1.355821,468.813293
19,35,Gopalganj,30,Dhaka,Gopalganj,Gopalganj,3035,Dhaka,BD30,314388.6556,1753091276,1.984465,0.526587,2.511053,221.111221,5.756383,4.187252,1.56913,157.413497,63.697715,39.287235,0.732089,269.397979
20,36,Habiganj,60,Sylhet,Habiganj,Habiganj,6036,Sylhet,BD60,471816.315,3115425566,3.982125,0.990822,4.972949,358.217864,9.456974,6.890391,2.566584,257.497528,100.720344,85.348236,3.869655,461.865722
21,38,Joypurhat,50,Rajshahi,Joypurhat,Joypurhat,5038,Rajshahi,BD50,257185.9572,1175705297,9.342099,2.407872,11.749972,630.020874,34.671531,15.413278,19.258251,450.462127,179.558731,365.200775,5.891995,1047.535156
22,39,Jamalpur,45,Mymensingh,Jamalpur,Jamalpur,4539,Mymensingh,BD45,417641.5907,2524944477,12.882687,3.3474,16.230087,486.239929,31.072313,14.765217,16.307094,347.258209,138.981735,208.980346,4.945477,747.468139
23,41,Jashore,40,Khulna,Jessore,Jessore,4041,Khulna,BD40,499461.6485,3069445760,4.969036,1.3061,6.275136,481.777313,14.632826,8.125683,6.507143,343.441314,138.336013,450.364105,0.612336,953.661682
24,42,Jhalokati,10,Barishal,Jhalokati,Jhalokati,1042,Barisal,BD10,232824.2175,870143550.1,19.854932,5.294122,25.149055,201.519729,25.243776,12.280996,12.962779,143.365463,58.154285,60.220973,0.603911,312.737457
25,44,Jhenaidah,40,Khulna,Jhenaidah,Jhenaidah,4044,Khulna,BD40,424512.416,2337146529,10.553357,2.706926,13.260283,401.438049,9.068504,4.985548,4.082955,287.252624,114.185432,360.595092,1.033299,785.395263
26,46,Khagrachhari,20,Chattogram,Khagrachhari,Khagrachhari,2046,Chittagong,BD20,416743.7078,3435103263,1.830435,0.490297,2.320733,298.091522,20.876646,9.984551,10.892094,257.059204,41.032329,112.959938,0.125498,434.374328
27,47,Khulna,40,Khulna,Khulna,Khulna,4047,Khulna,BD40,565073.1108,4946784786,2.786199,0.744981,3.531181,54.089248,4.476111,2.139574,2.336536,46.592006,7.497241,32.118591,0.16941,94.384544
28,48,Kishoreganj,30,Dhaka,Kishoreganj,Kishoreganj,3048,Dhaka,BD30,397074.7262,3105937192,5.6079,1.433479,7.041379,455.404052,23.032188,11.047532,11.984654,325.960754,129.443298,119.848182,1.058213,606.383972
29,49,Kurigram,55,Rangpur,Kurigram,Kurigram,5549,Rangpur,BD55,599239.1775,2820119967,5.814595,1.519195,7.333791,418.10147,12.826249,9.344892,3.481355,298.342437,119.759025,177.940963,11.106788,627.309265
30,50,Kushtia,40,Khulna,Kushtia,Kushtia,4050,Khulna,BD40,361429.4535,1941095840,15.954015,3.9507,19.904716,401.776123,21.251737,9.952235,11.299502,289.053344,112.722778,468.426269,1.177159,912.53601
31,51,Lakshmipur,20,Chattogram,Lakshmipur,Lakshmipur,2051,Chittagong,BD20,315322.0706,1844348969,0,0,0,34.831974,8.814885,4.509418,4.305466,25.135911,9.696061,108.811912,0,152.45877
32,52,Lalmonirhat,55,Rangpur,Lalmonirhat,Lalmonirhat,5552,Rangpur,BD55,637026.4248,1588441830,6.918899,1.802801,8.7217,443.689727,7.726732,4.741128,2.985604,316.757812,126.931922,288.077819,3.54253,751.758483
33,54,Madaripur,30,Dhaka,Madaripur,Madaripur,3054,Dhaka,BD30,292745.249,1350710292,12.992431,3.366448,16.358879,290.88977,14.19519,7.663043,6.532147,207.810424,83.079353,115.186698,0.749808,437.380371
34,55,Magura,40,Khulna,Magura,Magura,4055,Khulna,BD40,225818.8749,1251972695,6.232505,1.565889,7.798395,511.008148,14.604072,7.7431,6.860971,365.881805,145.126327,326.397064,0.874289,860.681945
35,56,Manikganj,30,Dhaka,Manikganj,Manikganj,3056,Dhaka,BD30,288752.5999,1650519889,5.989998,1.549745,7.539744,348.832641,7.227671,5.2573,1.97037,249.278457,99.554191,158.443771,6.416595,528.460449
36,57,Meherpur,40,Khulna,Meherpur,Meherpur,4057,Khulna,BD40,210840.392,865769977.6,11.913001,3.06967,14.98267,316.31427,15.710221,9.941164,5.769057,226.068115,90.24617,538.346923,2.075856,887.429931
37,58,Maulvibazar,60,Sylhet,Maulvibazar,Maulvibazar,6058,Sylhet,BD60,459545.872,3268420579,23.318773,6.002838,29.321613,229.267929,5.061652,3.69052,1.371131,163.938583,65.329345,82.857246,1.567474,348.075927
38,59,Munshiganj,30,Dhaka,Munshiganj,Munshiganj,3059,Dhaka,BD30,204398.4717,1114769823,8.357703,2.210439,10.568143,131.151031,8.576339,6.239787,2.336551,93.417991,37.733047,55.81427,0.538791,206.648574
39,61,Mymensingh,45,Mymensingh,Mymensingh,Mymensingh,4561,Mymensingh,BD45,603752.7346,5290487506,6.10782,1.542639,7.650459,329.655975,14.613487,10.643177,3.97031,236.011367,93.644615,174.441009,0.772522,527.133483
40,64,Naogaon,50,Rajshahi,Naogaon,Naogaon,5064,Rajshahi,BD50,592568.2493,4206615806,18.385406,4.749457,23.134864,454.808502,15.015749,7.961511,7.054238,325.008941,129.799575,241.624862,9.760473,744.344482
41,65,Narail,40,Khulna,Narail,Narail,4065,Khulna,BD40,249023.3827,1183161739,3.268496,0.865894,4.13439,271.863708,10.31857,5.465617,4.852952,193.595794,78.267921,93.958824,0.480382,380.755859
42,67,Narayanganj,30,Dhaka,Narayanganj,Narayanganj,3067,Dhaka,BD30,205007.9868,842075458.8,2.801033,0.721155,3.522189,34.835262,54.981334,40.00827,14.973063,24.910377,9.924885,125.139511,2.181093,220.659393
43,68,Narsingdi,30,Dhaka,Narsingdi,Narsingdi,3068,Dhaka,BD30,248267.4775,1405931668,8.694541,2.17882,10.873362,328.406921,24.39134,17.754451,6.636889,235.163864,93.243041,194.005035,2.101844,559.778503
44,69,Natore,50,Rajshahi,Natore,Natore,5069,Rajshahi,BD50,403356.12,2306209169,15.469675,3.846861,19.316535,303.300018,10.598458,6.570881,4.027576,218.064682,85.235336,328.236572,1.84521,663.296813
45,70,Chapainawabganj,50,Rajshahi,Chapai Nawabganj,Nawabganj,5070,Rajshahi,BD50,387477.4553,2053471102,31.472925,8.198355,39.671279,247.122009,12.484288,9.072037,3.41225,176.360183,70.761817,424.76654,1.905194,725.94934
46,72,Netrakona,45,Mymensingh,Netrakona,Netrakona,4572,Mymensingh,BD45,510431.2919,3423884576,5.706933,1.46223,7.169163,282.49884,8.274025,4.746091,3.527934,202.192779,80.306076,79.348159,0.784711,378.07492
47,73,Nilphamari,55,Rangpur,Nilphamari,Nilphamari,5573,Rangpur,BD55,300557.7463,1975886132,11.731866,3.02331,14.755177,469.348144,9.642965,7.031213,2.611751,335.681121,133.667037,301.844024,1.586193,797.176513
48,75,Noakhali,20,Chattogram,Noakhali,Noakhali,2075,Chittagong,BD20,593800.755,3719108071,0,0,0,89.261619,23.94314,10.186075,13.757063,64.360603,24.901014,101.492088,0,214.696853
